h_comment,h_date,h_name,h_rating,h_reviewer_name,h_title_comment
"Khách sạn này ở một nơi tuyệt vời gần bãi biển và nằm giữa thị trấn. Nó được bao quanh bởi một số lượng lớn các nhà hàng. Bạn hoan nghênh với một thức uống khi nhận phòng và nó mang lại cho bạn sự thoải mái khi ngủ. Khi chúng tôi yêu cầu 4 phòng, thật không may, chúng tôi đã tìm thấy một số phòng tắm có chứa silicone bị ảnh hưởng bởi nấm mốc, lễ tân bắt buộc phải đổi sang phòng khác. Bữa sáng tự chọn có nhiều loại thực phẩm có ngũ cốc, trái cây, bánh mì, nước trái cây, thực phẩm kiểu Việt Nam và các lựa chọn khác. Nhân viên lịch sự và thân thiện, một số người có tiếng Anh tốt hơn. Hồ bơi trên mái không lớn như ảnh được mô tả trên trang web nhưng vẫn mang lại sự thay đổi từ bãi biển. Khách sạn rất chu đáo khi chúng tôi kiểm tra rất sớm rằng họ đã cung cấp thức ăn và nước trái cây  như một khách du lịch để chúng tôi dùng bữa sáng. Cảm ơn bạn.",  thg 7 2019,Gosia Hotel,ui_bubble_rating bubble_40,KarolinaG73,Chuyến thăm gia đình đến Nha Trang
"Khách sạn này có ưu và nhược điểm của nó. Thứ nhất, nó là tương đối mới, có nghĩa là đồ nội thất trong tình trạng tốt, các phòng tương đối sáng / hiện đại. Giá cả hợp lý cho dải du lịch (nhưng bạn có thể nhận được các khách sạn tiêu chuẩn Việt Nam rẻ hơn nhiều bằng cách đi bộ một vài khối từ bãi biển trở lại). Đó là một khối phía sau con đường chính (nằm trên một con hẻm, lối đi hẹp) có nghĩa là nó không hoàn toàn ồn ào như các khách sạn trên dải. Điều đó nói rằng, Nha Trang ồn ào, và con đường chính chạy dọc bờ sông hiếm khi không bận rộn, thậm chí đến tận đêm khuya. Khi cửa sổ đóng và điều hòa không khí, mọi thứ vẫn ổn, trừ khi họ đang thi công vào ban ngày trên các khách sạn mới khác đang được xây dựng gần đó. Một trong những vấn đề ban đầu của tôi là không nơi nào nói rằng  khi đặt phòng mà các phòng tiêu chuẩn không có cửa sổ. Khi tôi mới đến, tôi khá thất vọng vì không có cửa sổ, nhưng những đồng nghiệp khác ở cùng chúng tôi có phòng bên cửa sổ và phàn nàn về tiếng ồn. Điều đó nói rằng, hầu hết các vấn đề tiếng ồn là ở hành lang của khách sạn, nơi các nhóm khách du lịch Trung Quốc và Nga ồn ào dường như thực hiện các bữa tiệc vào đêm khuya và có chuyến bay khởi hành sớm (4 giờ sáng trở đi). Không có nhiều khách sạn có thể đã làm về điều này, vì vậy đó không phải là lỗi của họ. Khi tôi đến, khách sạn đã được đặt đầy đủ cho đêm, vì vậy không thể nâng cấp lên phòng cửa sổ. Chúng tôi đã mất nửa giờ để được kiểm tra, mặc dù không có ai khác đợi chúng tôi tại bàn kiểm tra và có ba hoặc bốn nhân viên làm nhiệm vụ (chúng tôi là một nhóm 4 người, vì vậy không phải là một nhiệm vụ lớn ). Không chắc chắn vấn đề, nhưng chỉ cần mất nhiều thời gian để sao chép hộ chiếu, sắp xếp chìa khóa phòng, tìm ra phòng nào vẫn còn / sạch / sẵn sàng, v.v ... Nếu đây là một lần đăng ký sớm, tôi sẽ hiểu, nhưng nó đã 7 giờ tối! Khi tôi đến phòng, có thùng rác của người khác trong thùng của tôi, và ngày hôm sau, nhân viên dọn dẹp đã vào tủ lạnh của tôi và giúp họ lấy một ít trái cây của tôi, để cửa phòng tôi mở và giẻ trên sàn nhà (và lấy một áo tôi đã treo trong phòng tắm của tôi). Tất nhiên tôi rất buồn, vì tôi đã để máy tính / điện thoại / tiền, v.v. trong phòng cả ngày khi tôi ra ngoài, và nó có thể dễ dàng bị đánh cắp khi cánh cửa bị mở. Điều này không bao giờ xảy ra, và người quản lý kiểm soát chất lượng cũng buồn bã không kém, đến ngay lập tức để chụp ảnh và xin lỗi. Ngày hôm sau tôi được nâng cấp lên một căn phòng hướng biển đáng yêu, và người quản lý đi cùng nhân viên dọn dẹp mỗi khi họ vào phòng tôi trong thời gian còn lại của tôi. Tôi rất biết ơn về dịch vụ tốt, cũng như những người khác trong nhóm của tôi cũng có phòng tại khách sạn. Chúng tôi đặc biệt ấn tượng với các nhân viên ăn sáng, vì chúng tôi không thích bữa sáng tự chọn (chủ yếu hướng đến người Trung Quốc và người Nga với nhiều thịt, tinh bột, v.v.). Khi chúng tôi yêu cầu nước trái cây không đường và trái cây, chúng được mang đến cho chúng tôi mỗi sáng. Một trong những cô gái, I. Nguyễn đặc biệt hữu ích, luôn mỉm cười và ghi nhớ sở thích bữa sáng của chúng tôi mà không được nói. Nhân viên lễ tân và quản lý cũng rất tốt bụng, chắc chắn sẽ quay lại khách sạn này trong chuyến công tác tiếp theo của chúng tôi đến Nha Trang.",  thg 5 2019,Volga Nha Trang Hotel,ui_bubble_rating bubble_40,AussieTraveler75,Khách sạn mới chỉ sau dải bãi biển ở 'cũ' Nha Thrang (phía bắc của dòng sông)
"Khách sạn ở một vị trí ok, rất nhiều nhà hàng xung quanh. Phòng nhỏ nhưng sạch sẽ. Bữa sáng thực sự khá tệ, không có nhiều lựa chọn và tầm nhìn bên ngoài nhà hàng thật kinh khủng. Khu vực hồ bơi trên sân thượng rất nhỏ, chúng làm cho nó trông lớn hơn rất nhiều trên các bức ảnh quảng cáo. Có lẽ sẽ tìm chỗ ở thay thế nếu ở lại Nha Trang một lần nữa.",  thg 12 2019,Smile Hotel,ui_bubble_rating bubble_30,blonde1997,Tầm thường
"Khách sạn này không đáng giá bằng một nửa giá chúng tôi đã trả.  Ở lại 4 đêm và không thể chờ đợi để rời đi.  Bên cạnh là một trang web xây dựng HUGE cho một khách sạn lớn hơn, mà họ KHÔNG cho bạn biết khi bạn đặt phòng. Mỗi đêm cho đến 4 giờ sáng, tất cả những gì bạn có thể nghe thấy là tiếng nổ và khoan lớn và nó khiến chúng tôi phát điên hoàn toàn! ! ! !  Khi đi nói chuyện với một nhân viên (lúc 2 giờ 30 sáng vì thiếu ngủ) được cho biết họ không thể làm gì khi ở bên ngoài khách sạn, không thể thay đổi phòng và không xin lỗi. Nhân viên don lồng nói tiếng Anh rất tốt nên khó giao tiếp.  Ăn sáng vẫn ổn (nếu bạn xuống sớm vì sau 8: 45 thì không còn gì)  Hồ bơi đã không được sử dụng trong suốt thời gian chúng tôi ở lại do dọn dẹp, điều mà chúng tôi cũng không được nói trước khi  chúng tôi đến.  Nhìn chung, có vẻ như tất cả các vấn đề của chúng tôi đều có thể tránh được nhưng nhân viên đã không quan tâm đến việc giúp đỡ chúng tôi.  Phòng là nhỏ và cơ bản, với tối thiểu tuyệt đối được cung cấp.  Không bình thường điều này thô lỗ và luôn cố gắng tìm kiếm tích cực tuy nhiên để lại cảm giác rất thất vọng với kinh nghiệm của chúng tôi. . .",  thg 7 2019,Smile Hotel,ui_bubble_rating bubble_10,Travelling Brit,Trải nghiệm TERRIBLE
"Nhân viên rất thân thiện và hạnh phúc!  (Rất hiếm ở Việt Nam để xem những nụ cười từ bất cứ ai người Trung Quốc và người Nga.) Điều này. khách sạn defiantly khuyến khích những người chua quá:) Great phòng tầng trên cùng, đã tắm trên a. tính năng tắm nhưng không có nozzel giữ cho vòi sen đầu. Rửa thật khó khăn. Khách ồn ào lúc 5 giờ sáng ở sảnh thang máy, không có sự tôn trọng nào đối với những khách khác nhưng đó là tiếng Trung cho bạn. Họ rất ích kỷ và thô lỗ. Hồ bơi đã hết trật tự và màu xanh lá cây. Đó là bực bội như là sự lựa chọn tiện nghi chính của tôi cho bất kỳ khách sạn ở châu Á như vậy là nóng. . phục vụ cho nó.",  thg 8 2018,Smile Hotel,ui_bubble_rating bubble_40,rb30dett,"Nhân viên cười, nâng cấp, chế độ xem tuyệt vời,"
"Chúng tôi ở lại đây và nghĩ rằng đó là giá trị tuyệt vời cho tiền bạc. Các mặt tích cực chính là giá tốt (mặc dù sẽ có giá rẻ hơn), vị trí thực sự tốt, phòng sạch sẽ, nhân viên vui vẻ và bữa ăn sáng tốt. Bạn cũng đã có quan điểm bãi biển, mặc dù nó là một khối trở lại xem không bị chặn (cũng không phải của tháng 8 năm 2018). Nhược điểm không nhiều, các nhân viên không có tiếng Anh tuyệt vời và khách sạn dường như được hướng đến thị trường châu Á nhưng chúng tôi đã không thực sự tìm thấy nó một vấn đề. . . trong thực tế nó là giá trị tái khẳng định rằng các nhân viên rất thân thiện. Một điểm cộng nữa mà chúng tôi thấy là ở đầu con hẻm nơi khách sạn tọa lạc là quán cà phê Spot Caf, nơi có đồ uống và thức ăn đường phố với giá rất rẻ (bia là 10, 000 VND).",  thg 8 2018,Smile Hotel,ui_bubble_rating bubble_40,Scott H,Lựa chọn tốt ở mức giá
"Khách sạn với vị trí thuần lợi nằm gần trung tâm và dễ dàng di chuyển . Các tiện nghi cơ bản về phòng và hồ bơi , phòng gym nhà hàng . Các món ăn sáng cần xem lại 1 vài món để phù hợp với khách du lịch và nên chú ý về độ nóng của món ăn ở các quầy ( ý kiến riêng ) View thì thực sự tôi rất thích nhìn từ phòng tôi . Nhân viên thân thiện nhiệt tình .",  thg 9 2022,Navada Beach Hotel,ui_bubble_rating bubble_40,Cris 88,Nha trang 4/2021
"Phòng rộng, sạch vị trí khá tốt. Đi bộ ra biển khoảng chừng 5 phút. Ăn sáng tạm được . Xung quanh khách sạn có siêu thị mini,quán ăn thuận tiện . Tóm lại khá hài lòng về kỳ nghỉ ở đây . Sẽ quay lại khi có dịp .",  thg 12 2016,LegendSea Hotel,ui_bubble_rating bubble_40,TIENVO,Phù hợp với giá tiền.
"Mình ở khách sạn 3 ngày nhưng không được thay ga giường, mặc dù ga giường đã bẩn nhưng chỉ được trải lại ga.  Không có 1 nhân viên nào thăm hỏi và chào hỏi Lúc nhận phòng cũng không được nhân viên đưa đến chỗ phòng và hướng dẫn cụ thể. Lễ tân chỉ đưa lại chỗ thang máy và thông báo lên phòng 909.",  thg 8 2022,MerPerle Beach Hotel,ui_bubble_rating bubble_10,Phương,Chuyến đi du lịch tại Nha Trang
"giá cả ổn , phòng triple hơi nhỏ , view biển đẹp , buffet sáng  khá đầy đủ. Đối diện còn có sailing club , sáng đi thưởng thức đồ ăn khám phá thành phố nha trang , tối đi nhảy dầm  với anh em bạn bè . Đáng để ở và trải nghiệm",  thg 10 2022,Khách Sạn Star City Nha Trang,ui_bubble_rating bubble_40,Tracy,Lưu trú
